,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
RIL182_01864,15511.593,9725.978,5803.042,11230.072,8751.741,7042.424,11069.694,11388.931,16596.836,2033.433,1722.079,2095.898,2096.765,1727.618,1302,770.625,1140.208,1084.841,1335.974,1005.559,925.936,7600.221,8718.948,4583.146,4143.048,7531.071,8986.742,5669.599,1495,4606.642,670,956.445,1423.577,265,299.169,223.243,178,239,121.002,2483.378,1929.071,2905.952,5753.833,4137.326,5116.968
RIL182_01865,2633.31,2362.031,1478.958,1470.928,1338.447,1612.576,1707.306,1807.069,2027.164,273.567,219.921,187.102,116.235,147.382,109,244.375,172.792,132.159,364.026,256.441,388.772,847.779,1021.052,753.854,1066.155,1447.025,1242.258,868.401,445,947.642,76,140.555,202.423,37,39.831,40.757,9,3,11.998,239.622,130.929,254.048,743.167,548.674,493.032
RIL182_01866,22,9,16,7,13,1,0,15,23,1,0,0,0,0,0,0,0,0,31,25,28,110,73,29,27,23,23,18,0,10,0,1,0,0,0,0,0,0,0,9,4,0,38,27,26
RIL182_01867,130,106,97,77,57,51,36,104,117,7,0,10,1,0,0,73,26,0,96,63,74,82,72,60,93,128,125,85,68,108,4,5,11,8,0,7,0,15,3,23,23,90,271,187,198
RIL182_01868,186,129,98,66,51,82,153,45,181,23,13,11,28,34,0,16,13,19,114,109,52,167,293,136,113,126,141,137,83,134,1,8,19,11,0,4,6,0,0,109,117,65,294,244,232
RIL182_01869,98,83,18,41,30,41,23,31,36,9,5,6,2,0,0,35,0,0,49,48,46,112,87,72,65,75,80,85,28,57,0,2,4,1,4,3,0,0,0,32,4,18,136,150,124
RIL182_01870,2280,2479.002,1182,1506,1644,1015,1116,801,1995,351,210,212.379,207,200,78,178,196,69,1669,1363,1367,1960,1021,1316,1385,1569,1447,493,311,481,101,237,340,34,33,41,0,29,0,324,377,434,819,644,701
RIL182_01871,10734.536,10228.507,5668,7104.274,9678.451,6507.761,4121.014,4289.897,7277.395,988.096,633.048,741.642,488.386,426,234,1437,381,404.662,5298.973,3521.972,4669.821,7329.144,5782.111,4410.132,10201.852,14022.217,8440,3396,1275,3865,446,849.006,1175,118.999,124,135,68,42,53,2092.009,2234,2182.912,5607.776,4170.777,5013.278
RIL182_01872,939.483,714.488,314,605.953,730.549,316.046,449.62,412.251,828.603,65.637,25.952,68.246,21.064,2,0,81,21,42.338,422.612,235.026,326.179,509.288,203.445,274.736,1224.098,1244.208,1051,539,121,547,36,99.661,125,12.001,21,22,1,0,1,129.991,113,177.088,1081.474,1037.95,1118.399
RIL182_01873,3734.204,2842.221,1510,2592.774,3243,1820.954,1319.366,1299.851,2003.002,279.783,182,267.112,114.55,228,89,310,168,124,1011.837,873.002,686,3048.921,1656.444,1509.627,4943.185,7211.678,6018,2842,567,2824,273,383.333,521,85,99,42,35,68,0,911,796,902,5265.75,3904.273,4623.323
RIL182_01874,1575.767,1165.099,638.828,1044.663,1071.59,701.316,746.781,661.424,715.906,104.72,87.397,141.064,139.821,64.709,113,206.507,131.478,96.373,427.819,286.262,242.318,1112.179,1691.216,976.445,1741.608,2681.23,2573.201,1028.087,213,1003.601,82,134.779,220.887,33.615,53,25.872,25.57,41.334,0,581.766,799.107,1050.508,2242.531,1866.159,1677.663
RIL182_01875,16420.142,11928.901,7901.172,10384.337,11023.41,8537.684,9143.219,9518.576,17264.094,857.764,620.603,726.936,530.179,377.291,339,2982.493,573.522,613.627,5180.182,3859.738,4424.682,10298.472,8100.784,8195.06,15721.088,21612.702,27326.799,14469.913,4675,13404.399,962,1327.221,1978.113,229.385,237,264.128,244.43,164.666,102,7424.234,6476.893,9635.492,25930.469,21748.841,24564.337
RIL182_01876,4798.039,5002.253,3404,3248,3716,3386,1854,1886,2691,198,183,199,219,301,179,849,189,187,2005,1269,1519.051,1699,2050,1586,5445.013,6925.119,8687,4570,1453,4141,260,317,402,55,56,78,52,16,124,2189,1763,2507,11012,7317.955,8607
RIL182_01877,1536,1491,919,1176,1403,1227,714,762,1159,216,225,196,223,234,139,835,157,271,1219,1048,1701,1620,1103.01,1065,3021,3820,4108,2363,1078,2236,126,191,334,43,51,55,87,51,81,2774,3617,3306,6953,5542,6203
RIL182_01878,3744.076,3836.519,2229.379,2779.9,3569.906,3417.561,1000.58,768.789,925.067,135.304,87.292,104.246,152.389,145,62,742.64,85,51,1918.691,1332.729,1846.258,1533.088,2364.47,2083.933,4805.356,5574.825,6133.407,3248.802,977,4092.984,153,267,368.346,28,40,46.133,56.897,122.474,55.146,2067.937,1839.76,2636.637,11789.179,9025.687,10479.68
RIL182_01879,7823.658,8715.481,3943.621,6008.1,7592.982,8040.439,3926.42,3288.211,4357.933,379.696,337.708,393.754,674.611,356,191,2533.36,312,557,3951.309,3403.438,4291.742,6438.912,7587.567,4945.067,9376.647,9940.175,7690.593,4314.198,1243,4752.016,315,494,600.654,131,136,150.867,279.103,384.526,174.854,10448.063,8095.24,13735.363,18941.821,14744.313,17741.321
RIL182_01881,13,6,13,0,0,0,15,32,39,0,1,4,17,0,0,5,0,0,39,31,16,178,225,103,20,39,35,38,75,15,0,0,1,0,0,0,0,6,0,57,73,98,22,13,11
RIL182_01882,7826.568,5559,3191,11575,7962,7131,11097,9752,13522,1580,1305,1663,2113,1095,1163,1920,809,1324,2228,2039,1976,10642,11934,7856,8057.133,12858,13503,8872,2805,7838,600,795,978,186,291,243,269,341,163,8639,6991,10407,19672,14402,16242
RIL182_01883,2837,2232,1415,3999,2745,2819,2164,2197,3343,291,219,367,218,208,266,798,82,111,1008,871,961.092,2293,1672,1623,3024,4336,5846,3361,1219,3204,250,272,403,54,96,91,27,70,43,1378,1039,1762,7037,4750.743,5856
RIL182_01884,1471,1230,497,1783,1357,1007,2248,1542,2360,254,219,258,335,194,78,191,79,260,410,351,384,2170,2166,1401,1342,2010,1977,1119,318,1074,83,172,203,67,58,89,83,41,15,1312,1484,1963,4705,3466,3755
RIL182_01885,13267.069,9097,6910,13776.18,10215.085,8027,11150,9715,14569,1128,813,1257,661,702,515,1112,436,492,4895,3767,5318,10889,8030,9298,8149,14546.021,23099,14396,6409,12916,733,1133,1844,247,320,338,173,350,128,3049,2739,4476,18303,13577,16256
RIL182_01886,2193.241,1689,898,2255,2022.002,1256,1828,1998,3165,170,107,191,39,81,118,213,114,108,468,414,546,1455,1357,1344,1656,2871,4032,2169,409,2109,110,189,309,63,75,89,53,49,12,447,398,574,3158,2512,3086
RIL182_01887,749.115,592,542,835,717,635,517,657,999,61,53,67,50,29,42,133,17,47,315,193,303,727,230,494,713,1200,2265,1190,432,1082,79,85,141,22,24,24,5,23,0,87,156,177,1823,1383,1623
RIL182_01888,8916.653,8077.101,5470,5219,5247,4956.621,4873,4143,6339,669,424,642,615,362,276,1708,525,456,4870,3962,5494,6939,7954,5909,5830.625,8483,10110,5279,2768,5209,393,519,1005,134,165,147,177,151,104,3425,3506,4390,8375,6430,7421
RIL182_01889,2438,1819.003,1042,1934,1481,1456,1800,1487,2110,249,143,221,252,219,270,313,161,219,453,343,425,1818,2363,1311,1338,2688,3401,1801,701,1525,146,195,267,52,76,70,74,86,28,1011,1169,1504,4405,3243,3605
RIL182_01890,14359.156,10139,7283,8264,7706.023,7139,9454,8354,12869.386,1037,802,952,880,874,635,2983,994,925,11363,9819,13106.002,10149,8383,9559.11,11155,13920,16498,13264,9874,12819,717,1118,1664,221,292,255,205,249,102,6291,5483,7666,20915,15377,19277
RIL182_01891,6665,6717,3721,3868,4678,3030,2342,2146,4130,389,356,361,444,239,172,1026,122,98,4529,3989,4718,5401,3805,3893,6218.725,8315,6738,3013,1175,2860,281,404,675,69,84,155,42,83,56,2380,2307,2735,7013,5612,5824
RIL182_01892,16441.438,14823,8850,9703.103,9924.693,6159,6594,6295,9762,868,579,711,685,420,551,3095,801,868,10208,8887,11265,10186,9358,9608,16045,19947.935,17774,9094,4258,8869,590,1021,1604,254,316,320,184,443,252,7160,6491,8755,23940,18761,20976
RIL182_01893,248,248.966,103,148,190,190,160,114,240.398,9,14,8,23,30,11,76,0,19,125,116,107,160,385.939,117,294,368.973,275,144,104,152,6,16,24,10,3,5,0,11,17,200,239,334,581,434,509.37
RIL182_01894,714,548.31,343,475,391,360,425,365,234.602,9,17,30,76,41,20,164,51,40,177,166,135,382,728.061,411,660,926.027,1297,851,133,674,29,33,52,8,24,3,41,41,0,693,383,947,2248,1931,2178.63
RIL182_01895,1238,1157,745,740,803,628,589,524,874,48,52,66,104,16,42,197,30,61,897,740,1021,944,640,803,1362,1485,1692,942,453,817,103,73,112,21,30,24,8,9,8,327,340,470,2285,1759,2187
RIL182_01896,93.154,60,13,21,36,31,20,19,22,13.329,2,8,4,0,0,40,0,1,105,86,88,85.405,64.336,54.105,145,143.901,77.534,32,33,40,3,13,11,3,0,1,0,10,6,156,308.666,150,247,233,188
RIL182_01897,7306.872,5226,3028,5624,5943,4473,4987,4678,6812,754.671,533,650,488,486,378,314,323,221,2093,1647,1915,5000.595,4203.707,3696.895,5266,10467.099,13288.466,4682,1406,4555,509,670,1121,171,127,158,53,57,71,1019,1155.334,1084,5651,4038,4653.015
RIL182_01898,2745,1935,1510,1923.033,2141.019,1988,1108,1533,2128,207,123,151,188,124,141,665,307,106,1726,1312,1689.002,1286,968,1481,2096,3304.141,5238,2310,934,2144,231,270,353,34,51,55,20,0,12,811,542,595,3362,2392,3083
RIL182_01899,4602.435,3623,2083,3510,3719,3618,3026,3246,3805,387,354,401,625,367,361,921,322,511,1295,977,1072,2956,3277,3271,3324,6441,9065,3682,973,3335,281,440,723,82,114,148,132,280,57,3693,3192,4519,9954,7830.544,8728
RIL182_01900,2906.471,2208,1750,2491,2232,3157,1482,1624,2271,204,147,139,106,88,127,365,27,110,1230,938,1238.055,1534,1600,1399,1822.006,3767,6004,2774,851,1906,218,252,399,60,56,71,25,40,0,756,673,839.004,4088.01,2614,3454
RIL182_01901,88344.427,127033.069,79946.879,52568.768,64791.057,54187.456,23889.688,24839.715,41539.632,5689.774,4425.455,5167.299,8816.886,3114.618,3159.512,45300.308,4049.66,6458.399,77763.544,61783.514,63331.247,102133.044,170346.73,104247.487,259916.301,213937.419,138386.371,47102.071,23828.036,62283.711,2357.101,4125.454,7528.545,1635.504,1867.908,1849.274,1523.768,2263.049,1237.166,93848.627,93475.94,118653.717,77668.442,61937.252,73166.372
RIL182_01902,63074.781,61398.122,51677.629,41430.142,52633.987,34902.185,23209.573,25085.826,37200.204,4895.452,4039.689,4570.715,3290.095,2919.382,2950.488,19314.262,2254.593,2870.6,42034.346,31489.053,32502.512,43956.676,55575.494,42797.983,150000.51,157801.442,139470.754,54570.051,25577.964,59480.099,1868.899,3130.497,6009.563,970.066,1033.092,1041.723,751.197,1465.616,652.709,45759.63,37273.189,50283.803,43090.007,26780.398,34639.955
RIL182_01903,85308.125,143709.078,46220.492,25572.423,56681.008,21152.75,4960.794,5101.459,10288.164,2644.774,1638.856,2327.986,2306.019,1160,970,20574.43,991.747,986,151472.13,116144.087,119438.82,77165.013,64045.609,52416.222,214137.145,150016.878,34718.875,10369.878,8813,18392.19,713,3789.049,5377.892,913.43,765,639.003,373.035,400.335,262.125,13564.743,16525.722,13105.476,27349.541,24916.047,23865.575
RIL182_01904,41790.915,31930.432,19488,22823.043,25485.942,14496,16702,14569,19039.866,3620.534,3580.24,4882.348,3386.001,1991,1828,6896.544,1573,2475,28243.942,29785.693,33383.688,41104.111,33326.375,30416.948,45870.835,71494.588,62171,34459,15276,30785,1439,2732,4724.187,827.344,1153,1031,1233.557,1406,918.799,23162,24495.156,32322.007,51477.637,37911.08,45046.738
RIL182_01905,4155.923,3785.887,2148,2435.883,2574.592,1433,484,586,891.134,267.507,236.296,413.038,240.999,188,69,546.473,73,97,1725.206,1597.865,1582.292,3480.434,1967.469,2185.557,7468.051,8854.47,7858.173,3913,852,4090,170,292,421.813,183.656,222,167,114.443,72.889,45.271,1269.613,1812.153,1427.362,11907.438,11044.077,9951.611
RIL182_01906,13880.882,12269.945,8098,8185.463,8829.334,4318,5601,5172,7050,993.362,883.464,1341.614,1396,691,538,2757.983,602,984,9098.903,7879.433,10004.658,13288.456,15704.156,10826.392,22106.71,25899.192,26831.827,14160,6900,13721,476,695,1226,390,472,323,543,567.111,525.93,14030.387,12420.69,16498.631,32523.369,25102.416,28410.651
RIL182_01907,14751.648,13377.001,9804,8258,8939,5019,9179,7161,9520,877,835,1232,1430,616,467,4178,1065,1169,9165,7448,9983,11316.572,19185.476,12518,22499.089,26711.706,25586,14899,7158,14716,479,710,1128,314,393,385,803,1224,672,23516,15489,29204,30863.003,24307.478,29925
RIL182_01908,6536.53,11070.393,4419,1582,4219,1351,396,408,619,120,122,155,93,71,60,1514,86,123,9259.028,6131,8419,5116.428,2396.524,4944,15707.151,11015.042,4462,1799,1193,2639,90,283,474,97,101,129,32,29,64,891,1327,870,5718.319,5648,5270
RIL182_01909,6081.848,6371.332,3423,6186,4983,2241,6200,6961,11779,416,226,304,387,233,125,1346,480,431,9903,7747,6145.359,23339,16985.765,11360.468,8175.063,8985,9750,7620,4090,5338,292,500,716,78,53,83,60,62,48,2349,2072,2911,10335.109,9312,10667
RIL182_01910,0,3.447,14.845,0,0,0,0,18,0,0,0,0,3.202,0,0,0,22,0,9.3,25.622,0,38.558,0,0,0,0,0,17.959,21.909,0,0,1,0,2.854,0,0,11,0,0,0,0,73.149,0,0,9.268
"fig|536231.75.peg.2022   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",24.766,26.965,21,32.153,35.14,6.634,48,38,26.184,2,3,4,4,0,0,36.076,16,2,39.029,20,28,32,64,23,69,41,55.041,116.02,39,36,5,6,1,3,4,0,0,0,0,21,53,49,169.576,84.72,112.971
RIL182_01913,161.234,200.035,127,194.847,180.86,65.366,489.975,473,709.816,15,14,17,72.999,25,0,165.924,72,9,386.971,248,206,524.102,274,225,522,352,274.959,295.98,112,173,18,23,21,5,6,0,36,24,1,392,367,529,1231.424,969.28,1222.029
RIL182_01914,6779.524,8144,3465,7112,7990,4169,5681.025,6009,9902,690,431,418,591.001,421,430,2401,732,453,13179,9629.001,10917.002,8890.898,10658,6619,12717.05,13363.587,9892,4375,2542,4026,391,638,734,107,67,107,161,286,199,8505,7759,9484,14746,12869,15284.884
RIL182_01915,1997.033,1843,887,3033,2141,1957,2110,2824,3803,244,145,140,185,126,109,424,107,100,1044,965,1600,1452,1431,1151,1359,2568,2777,1279,349,1136,116,182,288,45,30,41,7,8,12,444,439,679,1554,1132,1375
RIL182_01916,792,773,476,1548,968,925,761,727,1540,111,44,78,32,19,0,57,44,13,334,228,324,516,224,179.031,449,862,1322,521,187,600,47,64,112,23,10,18,19,0,0,25,87,147,628,597,523
RIL182_01918,1522,2467.004,1054,780,1091,629,126,40,184,37,24,27,29,60,37,76,0,0,629,540,474,878,2655,716,834,1124.088,650,137,69,158,51,91,115,1,13,3,0,30,0,136,206,206,207,142,126
RIL182_01919,1171.555,1620.612,844,641,717.483,368.001,97,113,115,26,11,41.303,10,0,0,103,19,2,294,256,289.828,304.875,228.315,194,783.768,925.463,1036,189,61,224,86,64.593,97,3,6,2,0,0,0,25,21,75,246.832,218,233.929
RIL182_01920,210.672,224.595,81.89,68.335,94.101,68.999,30.684,0,25.723,5.822,1,2.811,6.439,10,0,13,0,0,17,17.6,32.749,39.989,56.821,56.669,81.245,162.111,83.402,24,0,19.952,1,6.407,14.912,0,0,0,0,0,0,30,12.867,0,38.168,3.378,48.018
RIL182_01921,13642.751,20240.086,11365.11,4407.665,6677.416,4789,444.316,599,914.277,107.178,58,61.886,78.561,66,31,469,82,91,4718,3277.4,4026.423,3565.136,6899.864,3588.33,4337.463,6306.426,5229.598,757,830,1409.048,310,525,736.088,10,26,28,39,38,0,800,785.133,801,1233,1143.622,1389.053
RIL182_01922,17828.818,24754.049,19135,18274,14128,6899,4266,4112,8062,634,454,411,661,348,222,2310,759,612,7670,5226.003,5471,9455,8858,8426,11146,12916.284,12446,6580,4769,5765,1087,2010,2098,28,81,48,0,38,63,666,349,557,950,918,1137.442
RIL182_01923,1010,727,448,606,637,478,541,508,730,69,39,53,23,6,29,25,14,35,114,107,85,548.358,380,305,330,995.017,2117,652,166,556,67,116,132,21,18,17,15,0,0,137,72,77,449,421,396
RIL182_01924,1059.026,1051,659,721,886,698,76,110,190,31,22,28,4,0,13,40,0,28,330,208,383,152,210,154,572,995,1918,523,213,397,40,84,71,8,29,12,20,0,0,38,11,56,314,213,266
RIL182_01925,4821.399,4526,3383,3027,3537,3333,1506,1586,2247.075,287,203,191,138,158,44,194,92,67,1895.079,1372,1675,1830,2132,2099,2597,4408,7258,2359,695,2153,256,319,516,37,57,51,45,41,0,366,339,412,1273,933,1178
RIL182_01926,4516.323,3506,3392,3252,3557,2485.007,1947,1799,3154,365,287,222,117,185,63,408,127,132,2187,1610,2380,2594,2193,2413,2359,5022,10089,3352,1864,3292,324,376,630,39,84,41,18,32,32,851,632,597,1600,1333,1452
RIL182_01927,14793.286,12325,11463,16857,15947,9964,10689,9506,18035,2114,1491,1079,683,524,645,1681,904,840,10327.003,7390,11052,10160,9902,10444,7684,17777,32410,9782,6422,8923,859,1318,2306,161,196,136,101,132,169,3366,2733,3756,5616,4412,5314
RIL182_01928,6057.391,5901.399,2687,4984,4827.007,4682,766,1218,1396,240,130,125,68,54,74,476,82,104,2862,2078,3174,3235,1772,2398,3603,5923.133,6417,1869,1027,2202,285,457,565,47,51,42,6,13,0,246,252,400,2528.33,1680,2050
RIL182_01929,4169,3802,1981,4790,3708,3151,1264,1697,2570,267,122,169,117,93,72,166,41,62,1012,615,614,2485,1729,1371,2516,5223.197,9299,2671,283,2195,312,491,659,50,40,35,24,41,0,324,248,455,2275,1791,2046
RIL182_01930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIL182_01931,393020.593,535337.673,286067,125096.486,176925.193,87531.394,11619,13692,20620,1201,586,520,2302,618,674,21654,5782,3013,236486.607,209154.78,245111.198,181903.839,279202,155000.986,150316.939,194296.76,94883.996,33263,43652,53588,14196,27951,29239,184,130,111,242,672,295,24716,13987,25438,5979,4908,6825
RIL182_01932,17675.489,13897.475,10397,7382.633,8955.311,7817,2791,2535,3794.222,805,488,462,668,420,286,3540,767,449,11267.78,8413.207,13430.459,8437.406,8966.906,8495.695,10155.414,12262.857,13440,6384,5639,6051.995,370,655,1377,75,82,58,73,92,58,4803,3363,5494,4352,3495,4379
RIL182_01933,4921.03,4848.051,2797.683,5099.264,3900.558,5113.707,5392.718,4711.932,8381.434,637.088,461.068,483.767,666.036,422.053,328.696,1877.659,399.323,439,5630.433,4410.274,4909.239,3964.464,3799.286,3075.654,5299.406,5688.669,6681.767,3537.956,1735,3284.005,225,305.549,480.478,66,86,91,97,127,67,1093.978,1124.552,1319.019,3598.199,2866.447,3086.802
RIL182_01934,6992.444,5248.347,3974.317,5634.618,5048.64,4734.789,3360.29,3038.593,4972.954,572.912,422.932,455.233,426.964,224.947,131.304,292.341,196.677,225,1582.355,1208.243,1360.627,2877.13,2866.807,2502.299,2507.181,5868.273,9782.233,5301.044,1386,3961,362,439.738,622.522,108,78,94,49,26,32,726.428,696.448,1179.981,4633.805,3327.782,4152.198
RIL182_01935,628.216,361.231,310.069,350.305,382.895,305.803,96.424,151.036,192.337,36.696,11.669,8.518,21.396,2,0,27.525,11.2,11.826,74.522,66.842,94.389,131.964,125.699,109.136,135.615,489.005,915.515,332.16,126.525,338.71,13,26.712,47.675,5,1,13,0,0,23,56.414,38.592,55.874,372.498,272.43,256.099
RIL182_01936,5803.174,4193.757,2840.931,4676.179,4261.596,3933.701,2360.569,2184.44,3490.053,298.304,174.331,226.482,114.604,75,147,283.475,135.8,67.174,930.021,793.337,934.287,1878.036,976.301,1488.229,1879.385,4280.672,8875.485,3655.84,1331.475,2806.29,312,427,629.325,102,97,117,19,26,10,533.181,512.408,593.126,3714.497,2571.57,3085.901
RIL182_01937,35980.94,28700.583,20398,28976.731,30310,30918,11221,12524,18432,1777,1361,1580,1248,823,674,3751,1027,873,9311,8031,11037,15001,13519,14893,15554.006,28755.008,49926,22346,7214,18451,1774,2383,3557,305,461,409,303,456,246,7766,6343,8933,20575.558,16301,19938
RIL182_01938,2899,2826,2039,3428,3297,3602,407,425,812,130,112,115,189,97,82,445,65,44,1213,927,1132,754,787,613,1861,2817,4099,1969,765,1832,223,176,254,19,13,17,25,11,9,467,536,566,2165,1645,1894
RIL182_01939,10628,9952,5330,10080,9970,9666,4636,3498,6408,672,566,575,991,337,348,2359,744,597,2975,2332.277,2772.001,5484.445,7784,5030,6420.112,8865.02,10612,5801,2268,5139,486,603,874,87,131,123,105,311,105,4087,4002,5617,7346,6213,7032
RIL182_01940,17950.817,14425,8989,25269.294,20332,13918,11230,12197,20464,1407,1020,1141,1148,734,592,2505,889,944,5686,4704,6968,8531.555,8429,5734,11405.107,17700.804,24346,13349,5819,12143,873,1020,1597,206,311,245,136,203,94,5483,4467,5955,11846,9043,10983
RIL182_01941,22105.887,20680.076,12770,26852.187,27628.196,24305,9340,9767,15662,2727,1949,1912,685,455,514,2964,990,885,7999,5358,7091,11319.892,8247,9651,13439.094,18509,23266,12455,5872,10841,1127,1341,2016,221,272,255,34,118,19,2064,1716,2425,5796,4349,5106
RIL182_01943,5501.083,3559.002,2197,3710,3406,2310,4298,4283,6248,477,359,384,217,207,197,464,167,284,2143,1995,2567,4482,2461,4007,3109,6650,10056,4819,1871,4541,443,613,962,82,101,111,18,55,21,675,525,874,4265,2906,3824
RIL182_01944,2001.013,1765.562,884.516,1297.651,1568.516,847.133,1580.436,1510.931,2410.736,220.588,132.324,174.22,198.548,135,153,583.479,189,244,1046.702,1058.04,1446.15,2807.634,1591.918,1788.54,2284.929,2769.538,4065.885,1947.005,710.835,1843.545,167,275.231,406.39,19,53.271,48,24,48,11.004,523.861,815.583,684.485,3863.74,3256.849,3532.335
RIL182_01945,1624.377,1120.184,765.566,1128.876,1038.633,1053.867,1166.093,1219.582,1312.146,118.948,104.676,103.003,146.452,76,99,499.521,94.701,168,704.296,534.358,601.724,1087.941,1026.392,1053.001,1338.481,2242.037,3132.942,1578.91,757.165,1585.455,152,150.769,228.61,24,31.729,26,31,7,10.996,933.781,1001.417,1232.282,2454.573,1808.151,1979.665
RIL182_01947,5112.099,3604.428,2536.919,4158.473,4068.852,2446,7593.471,6508.488,11159.118,764.464,435,579.778,542,190,376,708,463.299,297,2587.002,2170.603,2511.144,6770.425,4221.691,4905.459,4246.59,7396.476,13499.173,6532.086,2686,5337,492,637,982,117,123,130,87,58,47,1109.357,956,1224.234,5360.687,3938,4951
RIL182_01948,2700,1841.385,1420,2191,1909,1359,3144,2976,5094,342,301,307,272,350,171,350,417,169,1472,1182,1584,3965,2803,2598,2134,4013,6906,3367,1143,2927,282,331,546,41,67,77,17,26,11,988,960,1071,2582,2305,2668
RIL182_01949,8809.041,6132.155,3763,6898,6647,3906,6172,5848,8410,892,688,819,560,614,443,623,520,307,2483,1965,2609,8334,7331,6050,6137,12616,19000,8565,1928,8143,822,1018,1673,154,218,178,65,63,59,1330,1297,1797,8368,5681,7111
RIL182_01950,14764.073,10321.018,7279,7926,9347,5610,7021,5442,9344,766,745,669,720,391,360,3086,641,706,19704,22387,31737.07,16399,10672,16113,6384.009,13741,19118,8947,5906,8827,791,1405,2476,91,131,136,237,75,194,4041,4071,4815,7495,5317,6606
RIL182_01951,3939.988,3002.01,1902,3052.003,2914,2397,3295,3124.194,5648,590,474,343,322,270,156,492,266,242,2717,1873,2281,3530,2689.806,2265,2789.136,5094.163,6386,2725,1041,2630,210,344,620,56,50,72,18,55,14,1045,671,1241,2246,1805,2403.533
RIL182_01952,397.173,388.99,228,311.353,314.221,214,246,156.806,281.915,39,16.046,14.326,16,0,0,166,45,33,167,157,243.372,377,399.194,303.915,285.474,356.331,643,274,55,284,23,34,39,1,17,3,0,25,11,525.267,194.559,435,508,500,439.467
RIL182_01953,10377.945,7503.573,6060,11905.793,10610.228,9726,10698,8252,14207.085,912.278,703.954,570.674,412,508,412,724,319,227,4198,3338.014,5167.244,5470.299,5196.278,5310.447,4320.39,10306.126,18760.558,7314.005,3996,5816,769,1041,1282,90,146,129,31,82,20,895.733,828.482,1142.84,4727,3453,4672
RIL182_01954,2100.602,1643.427,1149,2546.851,2736.69,1437,834,732,1403,216.722,114,216,87,72,12,125.992,75,22,478,516.37,511.392,1298.701,629.722,1057.638,1285.823,2703.51,4947.447,1593.995,379,1334,137,247.999,275,36,25,31,0,45,19,92,119.959,221.16,1116,913,980
RIL182_01955,13852.42,10427.929,8049,15011,14945,10452,17605,12993,21311,2065,1643,1545,2171,1432,1113,3036.008,1542,1889,6613,6294.63,9484.053,12552,16380.756,10487,7521.177,13770,21386,10686,6430,8073,878,1147.001,1671,151,151,141,203,334,155,5787,5076,7962,10733.147,7687,9711
RIL182_01956,11813.406,9476.954,5702,18406.458,16376.832,10277,16130,11762,17792,3234,2779,2102,2966,1736,1595,1849,2081,2277,6055,4172,4795,12968,14606,8692,6209,12615,17150,6217,3590,5938,805,1203,1700,109,138,154,95,273,151,4690,3502,6105,5864,4761,5407
RIL182_01957,1980.252,1872.287,930.009,1421.096,1659.555,1014.417,1091.76,837.314,1434.429,95.146,59,68,106.487,11,29,382.302,146,38.482,1652.877,1454.533,1729.231,1945.636,1041.271,1394.883,2008.773,3007.974,3892.976,1606,475,1610.002,266,192.32,327.337,34,29,28,1,15.274,0,469.153,412.936,456.7,2390.73,1974.07,2170.31
RIL182_01958,365.905,277.567,194.436,312.978,251.378,156.583,164.069,210.686,259.032,28.912,15.026,2,40.86,21,8,36.378,0,11.518,149.123,117.132,136.344,186.674,318.231,148.278,238.185,354.141,993.145,403.636,129,401.921,64,41.68,45.663,0,1,5,3,6.726,16,161.112,89.704,73.597,309.699,202.308,323.265
RIL182_01959,5952.07,4053.145,2887.555,6961.926,6080.067,4071,9782.172,8049,11455.539,869.941,705.974,728,779.653,587,604,1104.32,1061,662,4759.258,4544.334,5012.424,10107.69,9061.498,7152.839,5759.26,10975.885,11584.878,6984.364,3839,5782.077,608,882,1121,64,139,116,112,104,51,1802.735,1919.941,2230.703,5313.571,3817.623,4586.425
RIL182_01960,2861,2946,2109,2586,2469,1711,1798,1724,2766,173,123,167,68,109,55,532,101,39,3198,2260,2291,3597,1447,2277,3998,3899.023,4751,2890,2026,2711,267,318,452,40,39,34,5,0,0,246,136,292,813,644,723
RIL182_01961,22945.688,14710,11684,33690.084,27524.203,16329,32545,26777,38432,3158.004,2924,2870,1864,1598,1704,2123,1274,1389,14603,10751.529,10735.377,27667.027,28544.72,17272.445,17669.73,42475.162,47630.562,26730,14772,22002,2590,3186,4027,282,314,298,220,354,148,3378,3043,3792,7933,5434,7031
RIL182_01962,1078.466,871,431,1484.113,1465.89,505,583,547,1257,208.996,151,155,28,38,81,112,44,0,1104,760.18,656.253,2445.501,901.387,1073,1804.365,2831.347,2364,931,289,983,174,267,296,28,55,30,11,17,0,149,95,154.267,846,652,779
